Type,Section/Category,#,Question,TIRE Placement,Weight,Characteristics,Answer Type,Options
Strategy Question,cost/value,16,"Can we quantify potential ROI from the investment in terms of cost savings, revenue growth, or improved customer experiences?",Invest,4,Business Value,score 1-5,
Strategy Question,cost/value,17,Are there industry trends or technological advancements that we could leverage by investing in this system?,Invest,5,IT Qualities,score 1-5,
Strategy Question,cost/value,18,Would the investment in this system align with our long-term strategic goals and business objectives?,Invest,5,Business Value,score 1-5,
Strategy Question,modernisation,19,"Are there feasible plans for implementation and adoption of an enhanced system, including necessary training and support?",Invest,4,Business Value,score 1-5,
Strategy Question,criticality,20,Is this application considered strategically important for achieving our business objectives?,Retain,5,Business Value,score 1-5,
Strategy Question,performance / stability,21,Is this system performing reliably with minimal downtime or operational issues?,Retain,5,IT Qualities,score 1-5,
Strategy Question,Integration,22,Does this application integrate effectively with other critical business systems?,Retain,4,Business Value,score 1-5,
Strategy Question,cost/value,23,Is the total cost of ownership for this system justified by the value it delivers to the business?,Retain,4,Business Value,score 1-5,
Strategy Question,legacy / tech debt,24,Is the underlying technology stack still actively supported and maintained by vendors?,Retain,5,IT Qualities,score 1-5,
Strategy Question,user satisfaction,25,Are the users satisfied with the current functionality and user experience of the system?,Retain,3,Business Value,score 1-5,
Strategy Question,criticality,26,Would changing or replacing this system introduce significant risk to ongoing business operations?,Retain,4,IT Qualities,score 1-5,
Strategy Question,security,27,Does this system have adequate security controls in place to protect business data and operations?,Retain,4,IT Qualities,score 1-5,
Strategy Question,competitive advantage,28,Does this system provide capabilities that would be difficult or expensive to replicate with alternative solutions?,Retain,4,Business Value,score 1-5,
Strategy Question,performance / stability,29,"Is this system struggling to handle increased usage, leading to performance issues during peak times?",Replace,5,IT Qualities,score 1-5,
Strategy Question,Scalability,30,Could moving this system to a cloud-based platform help us scale more effectively as our business grows?,Replace,4,Business Value,score 1-5,
Strategy Question,cost/value,31,Would a cloud-based solution offer cost savings compared to maintaining this system on-premises?,Replace,4,Business Value,score 1-5,
Strategy Question,performance / stability,32,Are there challenges with remote access or collaboration that could be addressed by moving to a different platform?,Replace,3,IT Qualities,score 1-5,
Strategy Question,modernisation,33,Would migrating this system align with our organization's overall strategy to leverage cloud technologies?,Replace,3,IT Qualities,score 1-5,
Strategy Question,modernisation,34,"Is the current system's technology outdated, and would a migration provide access to more modern features and capabilities?",Replace,4,Business Value,score 1-5,
Strategy Question,security,35,Are there potential security improvements that could be gained by migrating to a more secure or compliant platform?,Replace,4,IT Qualities,score 1-5,
Strategy Question,criticality,36,"Are there any risks associated with a migration, such as data loss, downtime, or disruption to business operations?",Replace,0,IT Qualities,score 1-5,
Strategy Question,cost/value,37,Would the benefits of migrating this system outweigh the costs and efforts associated with the migration process?,Replace,5,Business Value,score 1-5,
Strategy Question,legacy / tech debt,38,Is this system built on outdated technology that is no longer supported by the vendor?,Eliminate,5,IT Qualities,score 1-5,
Strategy Question,security,39,Are there security concerns associated with keeping this system due to lack of updates or patches?,Eliminate,5,IT Qualities,score 1-5,
Strategy Question,cost/value,40,"Is this system underutilized by employees, and are there viable alternatives that provide similar functionality?",Eliminate,4,Business Value,score 1-5,
Strategy Question,legacy / tech debt,41,"Are there duplicate systems or applications that serve the same purpose, leading to unnecessary complexity?",Eliminate,4,Business Value,score 1-5,
Strategy Question,cost/value,42,Does the cost to run the system outweigh the value to the organisation?,Eliminate,4,Business Value,score 1-5,
Strategy Question,legacy / tech debt,43,Does the function of the system duplicate functions already present?,Eliminate,3,Business Value,score 1-5,
Strategy Question,legacy / tech debt,44,Has the system's original purpose become obsolete due to changes in business processes or industry standards?,Eliminate,4,Business Value,score 1-5,
Strategy Question,Integration,45,Does the system lack integration capabilities with other critical tools and systems?,Eliminate,2,IT Qualities,score 1-5,
Strategy Question,user satisfaction,46,"Are there user complaints or dissatisfaction with the system's performance, usability, or functionality?",Eliminate,3,Business Value,score 1-5,
Strategy Question,modernisation,47,Would the organization benefit from reallocating resources currently dedicated to maintaining this system?,Eliminate,3,Business Value,score 1-5,
